tipo;descripcion;expediente;anio_expediente;domicilio;barrio;comuna;unidad_ejecutora;fecha_inicio;area;obra;estado_obra;contratista;foto_nombre;foto_descripcion
ARQ;La obra consiste en la ampliación y mejora del espacio público de uso peatonal en Av JB Alberdi entre Larrazabal y Murguiondo, jerarquizando el área comercial existente y regularizando el eje vial de la Av. Alberdi mediante la renovación de veredas, ejecución de una dársena central y dársenas para estacionamiento del transporte público.;52905;2007;Av. Alberdi entre Larrazabal y Murgiondo;Mataderos;9;2303;2008-09-01 00:00:00;Arquitectura;Boulevard JBAlberdi ;Finalizada recepción definitiva;CUNUMÍ SA;DSC03330.JPG;Boulevard con especies arbóreas
ARQ;construcción de  plazoletas centrales que terminan sobre la traza peatonal que corresponde a cada intersección. Rediseño del paisaje con la incorporación de  setenta álamos  populus  nigra  italicum .                   ;5280807;2007;Av. Larrazabal entre Emilio Castro y García de Cossio.;Liniers;9;312;2008-07-07 00:00:00;Arquitectura;Boulevard Larrazabal;Finalizada recepción definitiva;GRAPE Constructora SA;;
ARQ;Optimización del espacio público y un desarrollo funcional que posibilite actividades propias del sector, el proyecto incluye el rediseño y la refuncionalización del área de calzada.;1074105;2012;calle 25 de Mayo entre Av. Rivadavia y Av. Córdoba, y Av. Alem entre Av. Córdoba y Paraguay;San Nicolas ;1;312;2012-11-09 00:00:00;Arquitectura;Calle 25 de Mayo;Neutralizada;Salvatori SA Parques y Jardines;abril 25 de may.JPG;Abril-13
ARQ;Incluido dentro del programa AREA CENTRAL del Plan Urbano Ambiental, hoy denominado Prioridad Peatón. La intervención que comprende la calle Bartolomé Mitre entre Diagonal Roque Sáenz Peña y Av. L.N. Alem. El área tiene características netas del centro de la Ciudad donde se alternan la actividad comercial y gastronómica. Localización La localización del proyecto es en la calle Bartolomé Mitre , entre Av. Diagonal Roque Sáenz Peña y L.N. Alem. Objetivos Incluido dentro del programa AREA CENTRAL del Plan Urbano Ambiental, hoy denominado Prioridad Peatón. La intervención que comprende la calle Bartolomé Mitre entre Diagonal Roque Sáenz Peña y Av. L. N. Alem. El área tiene características netas del centro de la Ciudad donde se alternan la actividad comercial y bancaria . El objetivo general es la puesta en valor del sector, la optimización del espacio público y un desarrollo funcional que posibilite actividades propias del sector. Continuando la política destinada a revertir el deterioro y degradación de las áreas centrales, potenciando el proceso de recuperación y mejoramiento de las condiciones ambientales. Fomentar el desplazamiento peatonal, permitiendo el tránsito pasante sin colectivos. Esta intervención se sumaría al circuito peatonal que por proximidad comprenden la calle Florida y su remate en Entorno Plaza San Martín, Pasaje Tres Sargentos, Reconquista, 25 de Mayo, Marcelo T. de Alvear y Sarmiento. Características de la propuesta El proyecto incluye el rediseño y la refuncionalización del área, nivelando acera con calzada. El ancho de calzada se reduce a 5.60 m en todo su desarrollo. Se incorporan nuevos artefactos de iluminación con tecnología leds;1617370;2012;;;;312;2013-01-28 00:00:00;Arquitectura;Calle Bartolomé Mitre entre Diagonal Roque Sáenz Peña y Av. L.N. Alem;Acta de Inicio;PLANOBRA SA PALECO SA UTE;;
ARQ;Una de las particularidades del barrio de La Boca son las veredas elevadas con respecto al nivel de la calle debido a las inundaciones que se producian por las subidas del Rio de la Plata.Originalmente el barrio fue una zona pantanosa, con lagunas y pajonales.A causa de esta baja topografia y de la periodicidad de las crecientes, en algunas zonas se elevo el terreno en un metro evitando asi el problema que existia en las primitivas construcciones.Es por eso que en gran cantidad de calles de la Boca la circulación peatonal se ve seriamente obstaculizada.El peaton se ve obligado a optar entre la repetida e incomoda subida y bajada de escaleras y escalones, en su mayoría inadecuadamente dimensionados, y la circulación por la calzada, con la peligrosidad que ésta implica.;2295601;2011;;;;312;2012-10-03 00:00:00;Arquitectura;Calle Brandsen etapa 1 entre Almirante Brown y Pedro de Mendonza;En Ejecucion;Salvatori SA Parques y Jardines;brandsen.jpg;Cartel de Obra
ARQ;El objetivo principal  es la recuperación del carácter barrial de la calle Galván mediante iniciativas que buscan ordenar el transito pasante. Se realizaron las consultas habituales con las Direcciones Generales de Tránsito y de Transporte con la finalidad de encontrar una solución para disminuir los efectos de la gran cantidad de tránsito liviano y pesado que circula por la arteria en cuestión.  ;1273599;2010;;;;312;2012-07-10 00:00:00;Arquitectura;Calle Galvan ;Finalizada con recepción provisoria;Altote SA Naku SRL;;
ARQ;El proyecto para dicha arteria propone la nivelación de la vereda y la calzada conformando un carril central de 3.50 m para el transito vehicular con rejillas de evacuación a ambos lados del mismo. En todo el recorrido las veredas se materializan con loseta granítica de 40 x 40, 64 panes color gris claro y la calzada con pavimento intertrabado Uniendo ambos materiales se desarrolla una solia de hormigón de 60cm donde se ubican los bolardos y el alumbrado peatonal. Con esta intervención se facilita la accesibilidad en los cruces. Respecto al alumbrado público se intensifica mediante el reemplazo de las luminarias de las catenarias existentes por leds y la colocación de nuevos artefactos para iluminación peatonal. Mediante esta propuesta se busca mejorar la accesibilidad para todos los usuarios en sintonía con la Ley 962, garantizar espacios de convivencia entre vehículos y peatones y poner en valor recorridos históricos de la ciudad.;159317;2013;Calle Maipú entre Av. Rivadavia y M.T de Alvear ;San Nicolas - Retiro ;1;312;2013-11-11 00:00:00;Arquitectura;Calle Maipú ;En Ejecucion;PLANOBRA SA;Foto Maipu 4.jpg;Foto 4
ARQ;Optimización del espacio público y un desarrollo funcional que posibiliite actividades propias del sector, el proyecto incluye el rediseño y la refuncionalización del area, nivelado acera con calzada.;1195305-12;2012;;;;312;2012-11-27 00:00:00;Arquitectura;Calle Marcelo T de Alvear;Neutralizada;VIDOGAR CONSTRUCCIONES SA;;
ARQ;La Boca crecio a partir de mitad de siglo xix alrededor del primer puerto natural de Buenos Aires. La gran cantidad de colores del Barrio La Boca y el paisaje portuario la convierten en uno de los barrios más pintorescos de la ciudad. Una de las particularidades son las veredas elevadas con respecto al nivel de la calle debido a las inundaciones que se producian por las subidas del Rio de la Plata.  Originalmente el barrio fue una zona pantanosa con lagunas y pajonales A causa de esta baja topografia y de la periodicidad de las crecientes en algunas zonas por ejemplo Catalinas Sur se elevo el terreno en un metro evitando asi el problema que subsiste en las primitivas construcciones, cuya antiguedad se ubica entre los 50 y 100 años. Lo más característico son sus multicolores casas con techo de chapa, muchas de las cuales son hoy conventillos donde viven gran cantidad de familias. Sus características edilicias y costumbres, reflejan la notable influencia de los ciudadanos europeos, principalmente de italianos genoveses que ingresaron al país en el periodo comprendido entre los años 1860 a 1910 junto con muchos otros inmigrantes. Estos afincados en la zona eran de escasos recursos, y al no poder comprar elementos para restaurar los frentes de sus viviendas, solicitaban a los astilleros sobrantes de pintura con los que pintaban sus barcos. La calle Necochea fue la primera vía de comunicación con la ciudad, calle de muchísimo tránsito que era conocida con el nombre de cammino vegio. El sector propuesto abarca la calle Necochea  Azopardo entre Pi y Margall y la Av. Brasil, la calle Pi y Margall desde la Av. Alte. Brown hasta la curva de Espósito y la calle Pilcomayo  sector con apertura desde Av. Alte. Brown donde se completará el arbolado urbano. Andar, subir, bajar, pasear y deambular forman parte de la vida cotidiana del barrio. El peaton sin discapacidades tiene una gran flexibilidad a la hora de sortear obstáculos en su camino. Esta ventaja teorica de la circulación peatonal se vuelve en su contra en la medida en que se permite la ocupacion de las aceras y otros espacios peatonales por una multitud de artefactos. No importa que el itinerario se alargue se vuelva sinuoso o incomodo, mientras que no queda bloqueado los peatones se adaptan de un modo espontaneo Vehiculos estacionados, mobiliario urbano terrazas e instalaciones temporales, obras, etc, acaban dificultando la circulación con o sin discapacidades.;490.396;2012;;;;312;2012-11-21 00:00:00;Arquitectura;Calle Necochea Etapa II;En Ejecucion;MIAVASA SA ;;
ARQ;Mejora de calidad ambiental, la priorizacion de la circulacion peatonal, construccion de rampas peatonales en todos los cruces.;2.281.425-2012;2012;;;;312;2012-12-28 00:00:00;Arquitectura;CALLE OLAVARRIA TRAMO I;En Ejecucion;CONSTRUMEX SA;;
ARQ;El proyecto para dicha arteria propone la nivelación de la vereda y la calzada conformando un carril central de 3.5 m para el transito vehicular con rejillas de evacuación a ambos lados del mismo. En todo el recorrido las veredas se materializan con loseta granítica de 40 x 40, 64 panes color gris claro y la calzada con pavimento intertrabado Uniendo ambos materiales se desarrolla una solia de hormigón de 60cm donde se ubican los bolardos y el alumbrado con columnas y artefactos con tecnología led. Respecto al alumbrado público se intensifica mediante el reemplazo de las catenarias existentes otras de tecnología led. Se incorporan árboles de pequeño porte Photinia Fraseri. Mediante esta propuesta se busca mejorar la accesibilidad para todos los usuarios en sintonía con la Ley 962, garantizar espacios de convivencia entre vehículos y peatones y poner en valor recorridos históricos de la ciudad.;2772308;2013;Tte Gral. Domingo Perón ;San Nicolas ;1;312;2013-11-11 00:00:00;Arquitectura;Calle Perón II;En Ejecucion;DAL CONSTRUCCIONES SA;peron 2 nov c.jpg;Noviembre-13
ARQ;Incluido dentro del programa AREA CENTRAL del Plan Urbano Ambiental, hoy denominado Prioridad Peaton. La intervencion que comprende la calle Ricardo Rojas Remate Reconquista entre calle San Martin y Leandro N. Alem. El area tiene caracteristicas netas del centro de la Ciudad donde se alternan la actividad comercial, turistica y gastronomica. El objetivo general es la puesta en valor del sector, la optimización del espacio publico y un desarrollo funcional que posibilite actividades propias del sector. Continuando la politica destinada a revertir el deterioro y degradacion de las areas centrales, potenciando el proceso de recuperacion y mejoramiento de las condiciones ambientales. Fomentar el desplazamiento peatonal , permitiendo el transito pasante sin colectivos. Esta intervencion se sumaria al circuito peatonal que por proximidad comprenden la calle Florida y su remate en Entorno Plaza San Martin , Pasaje Tres Sargentos , Reconquista y 25 de Mayo. La intervencion que comprende la calle Paraguay desde su inicio en la Av. Leandro N. Alem hasta su interseccion con la Avenida Carlos Pellegrini. El area tiene caracteristicas netas del centro de la Ciudad donde se alternan la actividad comercial y bancaria El objetivo general es la puesta en valor del sector, la optimizacion del espacio publico y un desarrollo funcional que posibilite actividades propias del sector. Continuando la politica destinada a revertir el deterioro y degradacion de las areas centrales, potenciando el proceso de recuperacion y mejoramiento de las condiciones ambientales. Fomentar el desplazamiento peatonal, permitiendo el transito pasante sin colectivos. Esta intervencion se sumaria al circuito peatonal que por proximidad comprenden la calle Florida y su remate en Entorno Plaza San Martín, Pasaje Tres Sargentos, Reconquista, 25 de Mayo, Marcelo T. de Alvear, Sarmiento y B. Mitre.;1972058;2012;Rojas y Reconquista y Paraguay entre San Martin y Alem ;Retiro ;1;312;2013-03-04 00:00:00;Arquitectura;Calle Ricardo Rojas y remate Reconquista entre San Martin y L.N. Alem y calle Paraguay entre San Martin y L.N. Alem;Finalizada sin recepción provisoria ;DAL CONSTRUCCIONES SA;agostorrtrejo recon.jpg;Paraguay II
ARQ;Se propone la reducción de la calzada a 7.50 metros, con el objeto de incrementar el ancho de vereda, de esta manera la acera pasa a tener un ancho aproximado de 3.20 metros, la cual se divide en dos bandas a lo largo de toda la cuadra, la primera junto al cordón tiene un ancho constante garantizando la circulación peatonal de forma interrumpida y la segunda resuelve los desniveles conformando terrazas continuas en los frentes edificados que se encuentran sobre nivel. Se propone también la construcción de rampas peatonales en todos los cruces. La obra se materializa con la nueva ubicación del cordón cuneta de hormigón armado y nuevas veredas ejecutadas en baldosa granítica de 40 cm x 40 cm, las rampas se ejecutarán en hormigón peinado, con el fin de brindar un mayor agarre antideslizante en su uso. Se mejorará el alumbrado público y la forestación.;1926274;2011;;;;312;2012-07-19 00:00:00;Arquitectura;Calle Rio Cuarto;En Ejecucion;UTE ALTOTE SA NAKU SRL;;
ARQ;Se ha decidido encarar un plan de puesta en valor del Area Central de la ciudad, que inc luye a la calle San martin desde su inicio en la calle Roque Saenz Peña -iagonal Norte- hasta su intersección con la Avda. Córdoba.;1170680;2012;;;;312;2012-11-12 00:00:00;Arquitectura;Calle San Martín;En Ejecucion;DAL CONSTRUCCIONES SA;;
ARQ;Prioridad Peatón Calle San MArtín 2 entre Viamonte y Ricardo Rojas;989232;2013;San Martín entre Viamonte y Ricardo Rojas;Retiro;1;312;2013-11-11 00:00:00;Arquitectura;Calle San Martín 2 entre Viamonte y Ricardo Rojas;En Ejecucion;ALTOTE SA;san m 23 nov vvv.jpg;Nov-13 
ARQ;Incluido dentro del programa AREA CENTRAL del Plan Urbano Ambiental, hoy denominado Prioridad Peatón. La intervención que comprende la calle Sarmiento entre Diagonal Roque Sáenz Peña y Av. L.N. Alem. El área tiene características netas del centro de la Ciudad donde se alternan la actividad comercial y gastronómica.;1372962;2012;;;;312;2013-01-28 00:00:00;Arquitectura;Calle Sarmiento entre Diagonal Roque Sáenz Peña y Av. L.N. Alem;En Ejecucion;PLANOBRA SA PALECO SA UTE;;
ARQ;El objetivo general es la puesta en valor del sector manteniendo la estructura y materialidad existente. Caracteristicas de la propuesta Acera Se procede a la unificación de solados mediante la colocación de baldosa granítica, eliminación de canteros y rectificación de cazoletas. Se incorporan cestos papeleros y se mejora el alumbrado público. La forestación nueva, Acer Negundo, se mantiene en la misma línea que la existente. Cambio de radio de giro en las esquinas, permitiendo de esta manera, la colocación de rampas de accesibilidad en las esquinas. Se recomponen y demarcan los cruces peatonales. Se retira el cordón existente y se lo reemplaza por cordón cuneta. Nuevo patio urbano en la esquina de la calle Suárez y la calle Dr. Enrique del Valle Iberlucea, colocación de equipamiento urbano y árboles de la especie Lagerstroemia Indica Beneficiarios Los usuarios a los que se dirige el presente son, los vecinos frentistas. Locales de actividad comercial. Transito vehicular y peatonal pasante.;490653;2012;;;;312;2012-11-21 00:00:00;Arquitectura;Calle Suarez Etapa !;En Ejecucion;MIAVASA SA ;;
ARQ;Incluye el rediseño y la refuncionalización sel Area, interviniendo las veredas, la iluminación, la reforestación y el equipamiento. La localización es entre las calles Av. de Mayo y Av. Belgrano y el objetivo es la puesta en valor del área a intervenir, optimizando el espacio público posibilitando el esparcimiento y la recreación. ;1188113;2012;;;;312;;Arquitectura;Calle Tacuarí;Con contrato firmado;Paleco SA ;;
ARQ;El objetivo general es la puesta en valor del sector, la optimización del espacio público y un desarrollo paisajístico que posibilite actividades de esparcimiento y la recreación. Continuando la política destinada a revertir el deterioro y degradación de las áreas, potenciando el proceso de recuperación y mejoramiento de las condiciones ambientales.;364409;2010;Riachulo entre Av. Saenz y vieytes;Pompeya - Barracas;4;310;2010-12-01 00:00:00;Arquitectura;Camino de Sirga, en la Ribera del Riachuelo que abarca desde la Av. Saenz hasta la calle Vieytes de la CABA;En Ejecucion;CUNUMÍ SA;Imagen Sirga.png;satelital
ARQ;El objetivo general es la puesta en valor del sector, el mejoramiento del espacio público y un desarrollo paisajístico y funcional que complementaría el circuito de intervención.;52792;2007;Ramón Falcón entre Albariño y Escalada;Villa Luro;10;312;2008-07-01 00:00:00;Arquitectura;Canteros centrales Ramon L.Falcon;Finalizada recepción definitiva;CUNUMÍ SA;;
ARQ;La intervención que comprende la calle Perú entre Diagonal Roque Sáenz Peña y Av. Belgrano, y la calle Moreno, entre Diagonal Roque Sáenz Peña y Defensa . El área tiene características netas del centro de la Ciudad donde se alternan la actividad comercial y gastronómica;1397880;2012;;;;312;2013-01-28 00:00:00;Arquitectura;Casco Hisórico - Etapa II - Calles Perú y Moreno;Acta de Inicio;PLANOBRA SA PALECO SA UTE;;
ARQ;El sector de proyecto se ubica dentro de la zona denominada Casco Histórico de la Ciudad, en el barrio de Monserrat y comprende las calles Bolívar, Perú, Moreno y Alsina entre Defensa y las avenidas Belgrano y Diagonal Julio A. Roca. La 1 ra etapa toma las calles Bolívar y Alsina, el proyecto se completara con la siguiente etapa en las calles Perú y Moreno. Para consolidar dicha circulación se señala un carril de 3, 50 mts separado del sector peatonal por bolardos. Las veredas quedan señaladas con su ancho primitivo ,mostrando así la huella de la vereda original, y acorde al Código de Planeamiento se las restaura con baldosas calcáreas amarillas de 0,20 x 0,20m, nueve pancitos. Para la unificación de nivel se utiliza intertrabado.;1265403;2012;Bolívar y Alsina;Monserrat;1;312;2013-05-24 00:00:00;Arquitectura;Casco Histórico - Etapa I - Calles Alsina y Bolivar;En Ejecucion;XAPOR SA;Foto2141 chica.JPG;Diciembre-13 1
ARQ;El área de intervención aparece en la desafectación de la traza de la ex AU-3, donde se busca, a través de la Ley 324, garantizar soluciones habitacionales definitivas, reconstruir el tejido social y urbano y recuperar el patrimonio de los inmuebles. El proyecto urbano apunta a una renovación integral de la zona, contemplando la reestructuración y recalificación del espacio público, la recuperación de la conectividad transversal del sector y la generación de una imagen urbana que asegure la identidad futura de esta franja de la ciudad. El terreno de esquina aparece en la intersección de la calle Holmberg, y las vías del FC ex-Mitre, donde se prevé un cruce vehicular bajo el nivel de las vías, y un diseño integral del espacio público a cargo del Arq.  Clorindo Testa. El Concurso Nacional de Anteproyectos para la Nueva sede del CGPC12 que da origen al proyecto de la presente Licitación se realizó a fines del año 2010, organizado por la SCA y promovido por el GCABA y auspiciado por FADEA, el 1 Premio recayó en el Equipo encabezado por el Arq. Hernán Rosemberg, siendo sus colaboradores los integrantes del Estudio Plan DWG, Mariana Varela, María Garay, Facundo Nuñez, Sofía Peña, Benjamín Pozzo y Matías Repetto. La propuesta busca  intetizar los elementos intervinientes en el sector, potenciar los objetivos del proyecto urbano y dar respuesta a las necesidades del programa. Sugerido por su función, el edificio también busca su propia realización como gesto de descentralización  dministrativa al tratarse de un edificio público está pensado desde lo público. Así el edificio pasa a ser una pieza transparente y permeable, formando un diálogo directo con el entorno inmediato. Es así como el nivel 0, donde se da el programa de intercambio sociocultural comienza a integrarse con el espacio exterior vacante para la práctica de la vida urbana, incluyendo la propuesta de Clorindo Testa al edificio y convirtiéndolo en el hall y foyer del proyecto. La articulación de los programas se da a través de la continuidad espacial, donde el control de la percepción, por tanto, no se entrega a las superficies que encierran espacios sino a las superficies que discurren por los espacios.;1956273;2012;;;;312;2013-10-28 00:00:00;Arquitectura;Centro de Gestión y Participación Comunal N12 - Holmberg 2548-96;Neutralizada;Conorvial SA;;
ARQ;El programa PASEOS DE LA CIUDAD busca recuperar el comercio minorista y las actividades vinculadas  con la cualificación del espacio público La intervención asegura la calidad del mobiliario urbano la ejecución de las aceras y la incorporación de forestación el ordenamiento de las marquesinas de los kioscos de diarios y de flores para imprimir una imagen de marca al sitio y asesoramiento a propietarios para el tratamiento de las fachadas de los edificios de valor arquitectónico;52843;2007;Corrientes entre Riobamba y Boulogne Sur Mer ;Monserrat;1;312;2008-09-29 00:00:00;Arquitectura;Corrientes III;Paralizada;MIAVASA SA ;;
ARQ;El objetivo general es la puesta en valor del sector y de su espacio público revertir el deterioro y degradación, potenciar el proceso de recuperación y mejoramiento de las condiciones ambientales, de uno de los barrios más tradicionales de Buenos Aires. Incorporación de farolas de iluminación.;24905;2008;DEFENSA ENTRE HIPOLITO YRIGOYEN;MONSERRAT;1;312;2009-04-06 00:00:00;Arquitectura;Defensa Tramo I ;Finalizada recepción definitiva;Naku Construcciones SRL;31.JPG;Defensa
ARQ;Puesta en valor del sector y de su espacio público revertir el deterioro y degradación portenciar el proceso de recuperación y mejoramiento de las condiciones ambientales El proyecto fomenta la circulación peatonal desalienta el ingreso del automovil pasante y desafecta la calle al recorrido actual del ATPP  otorgandole caracter de transito restringido;24911;2008;Defensa entre Belgrano e Independencia y Pje. Lorenzo y Pje. 5 de Julio;Montserrat;1;312;2008-12-16 00:00:00;Arquitectura;Defensa Tramo III ;Finalizada recepción definitiva;MIAVASA SA ;;
ARQ;Restauración Integral de Cubiertas Pabellón 4 Columnas Edificio ESMA.;2.359.532;2012;;;;2303;2013-04-08 00:00:00;Arquitectura;EDIFICIO 4 COLUMNAS;Acta de Inicio;Constructora Lanusse SA;;
ARQ;Mejorar Espacio Público Nuevo sitio de interes barrial. Técnicamente consiste en la nivelación de aceras y calzadas para favorecer la peatonalización. Se utiliza el pavimento intertrabado como material que define visualmente el tránsito vehicular restringido y en las áreas exclusivamente peatonales, la baldosa granítica. Colocación de alumbrado y cestos.;20667;2008;15 de Noviembre Jujuy y Catamarca y Catamarca Catulo Castillo y Rondeau;Parque Patricios;4;312;2008-10-20 00:00:00;Arquitectura;Entorno Bernasconi;Finalizada recepción definitiva;MIAVASA SA ;;
